field_id,section_id,display_order,field_name,field_type,allow_others,allow_normal,normal_text,no_of_lines,status,observation_type,observation_code,file_content,content_type,filename,markers,is_mandatory,use_in_presenting_complaint,phrase_category_id,pattern_id,old_field_id
150,31,2,History Of Present Illness,wide text,N,N,"",,A,"","",,,,,f,N,,,
153,32,1,Height in Cms,text,N,N,"",1,A,"","",,,,,f,N,,,
154,32,2,Weight in Kgs,text,N,N,"",1,A,"","",,,,,f,N,,,
155,32,3,BP,text,N,N,"",1,A,"","",,,,,f,N,,,
156,32,5,Pulse,text,N,N,"",1,A,"","",,,,,f,N,,,
157,32,6,Built ,text,N,N,"",1,A,"","",,,,,f,N,,,
158,32,4,Temperature,text,N,N,"",1,A,"","",,,,,f,N,,,
159,33,1,VN,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
160,33,2,VPh,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
162,33,4,NV1,text,N,N,"",1,I,"","",,,,,f,N,,,
163,33,4,NV,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
164,34,1,Sphere,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
165,34,2,Cylinder,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
166,34,3,Axis,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
167,34,4,Addition,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
168,34,5,PRISM/BASE,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
169,35,1,Retinoscopy,text,N,N,"",1,A,"","",,,,,f,N,,,
170,35,2,Acceptance,text,N,N,"",1,A,"","",,,,,f,N,,,
