sttdis,grpcomb,node001,node002,node003,node004,node005,node006,node007,node008,node009,node010,node011,node012,node013,node014,node015,node016,node017,node018,node019,node020,node021,node022,node023,node024,node025,node026,node027
A11.10,' 'A11.10' ' ' 'V2.2' ' ' 'A5.0' ' ' 'S13.11' ' ' 'S4.0' ','A11.10','A11.10' 'V2.2','A11.10' 'V2.2' 'A5.0','A11.10' 'V2.2' 'A5.0' 'S13.11','A11.10' 'V2.2' 'A5.0' 'S13.11' 'S4.0', , , , , , , , , , , , , , , , , , , , , , 
A11.10,' 'A11.10' ' ' 'V2.36' ','A11.10','A11.10' 'V2.36', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.18,' 'A11.18' ' ' 'M2.0' ','A11.18','A11.18' 'M2.0', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.18,' 'A11.18' ' ' 'V2.63' ' ' 'S16.30.0' ','A11.18','A11.18' 'V2.63','A11.18' 'V2.63' 'S16.30.0', , , , , , , , , , , , , , , , , , , , , , , , 
A11.4,' 'A11.4' ' ' 'S14.4' ' ' 'A3.0' ' ' 'S13.11' ' ' 'V2.10' ','A11.4','A11.4' 'S14.4','A11.4' 'S14.4' 'A3.0','A11.4' 'S14.4' 'A3.0' 'S13.11','A11.4' 'S14.4' 'A3.0' 'S13.11' 'V2.10', , , , , , , , , , , , , , , , , , , , , , 
A11.8,' 'A11.8' ' ' 'U2.4' ' ' 'A9.2' ' ' 'N4.0' ' ' 'S14.1' ' ' 'V13.1.0' ' ' 'V2.0' ','A11.8','A11.8' 'U2.4','A11.8' 'U2.4' 'A9.2','A11.8' 'U2.4' 'A9.2' 'N4.0','A11.8' 'U2.4' 'A9.2' 'N4.0' 'S14.1','A11.8' 'U2.4' 'A9.2' 'N4.0' 'S14.1' 'V13.1.0','A11.8' 'U2.4' 'A9.2' 'N4.0' 'S14.1' 'V13.1.0' 'V2.0', , , , , , , , , , , , , , , , , , , , 
A12.0,' 'A12.0' ' ' 'A12.10' ' ' 'S17.0' ' ' 'V2.23' ' ' 'MS G1.0' ','A12.0','A12.0' 'A12.10','A12.0' 'A12.10' 'S17.0','A12.0' 'A12.10' 'S17.0' 'V2.23','A12.0' 'A12.10' 'S17.0' 'V2.23' 'MS G1.0', , , , , , , , , , , , , , , , , , , , , , 
A12.0,' 'A12.0' ' ' 'A2.0' ','A12.0','A12.0' 'A2.0', , , , , , , , , , , , , , , , , , , , , , , , , 
A12.0,' 'A12.0' ' ' 'A3.0' ' ' 'V2.10' ' ' 'S14.21' ' ' 'P2.0' ','A12.0','A12.0' 'A3.0','A12.0' 'A3.0' 'V2.10','A12.0' 'A3.0' 'V2.10' 'S14.21','A12.0' 'A3.0' 'V2.10' 'S14.21' 'P2.0', , , , , , , , , , , , , , , , , , , , , , 
A12.0,' 'A12.0' ' ' 'A6.0' ' ' 'S14.17' ' ' 'G8.0' ','A12.0','A12.0' 'A6.0','A12.0' 'A6.0' 'S14.17','A12.0' 'A6.0' 'S14.17' 'G8.0', , , , , , , , , , , , , , , , , , , , , , , 
A12.0,' 'A12.0' ' ' 'A9.0' ' ' 'M2.0' ','A12.0','A12.0' 'A9.0','A12.0' 'A9.0' 'M2.0', , , , , , , , , , , , , , , , , , , , , , , , 
