discomb,descomb,numcomb,grpcomb,npt,sttdis,node
'A1.0' 'V2.10','OTHER: Aamadosha 'OTHER: Vaatavyaadhi - Avabaahuka,2,' 'A1.0' ' ' 'V2.10' ' ' 'V2.23' ',1,A1.0,2
'A1.0' 'V2.36','OTHER: Aamadosha 'RMSD: Vaatavyaadhi - Kateegata Vaata,2,' 'A1.0' ' ' 'V2.36' ',1,A1.0,2
'A1.0' 'V2.63','OTHER: Aamadosha 'RMSD: Vaatavyaadhi - Sandhigata Vaata,2,' 'A1.0' ' ' 'V2.63' ',1,A1.0,2
'A1.0' 'V2.75','OTHER: Aamadosha 'RMSD: Vaatavyaadhi - Vaatakantaka,2,' 'A1.0' ' ' 'V2.75' ',1,A1.0,2
'A1.0' 'A2.0' 'J1.0','OTHER: Aamadosha 'RMSD: Aamavaata 'OTHER: Jwara,3,' 'A1.0' ' ' 'A2.0' ' ' 'J1.0' ' ' 'K2.0' ',1,A1.0,3
'A1.0' 'A6.0' 'V2.63','OTHER: Aamadosha 'OTHER: Amlapitta 'RMSD: Vaatavyaadhi - Sandhigata Vaata,3,' 'A1.0' ' ' 'A6.0' ' ' 'V2.63' ',1,A1.0,3
'A1.0' 'A7.0' 'S16.0','OTHER: Aamadosha 'OTHER: Anaha 'Metabolic: Sthaulya,3,' 'A1.0' ' ' 'A7.0' ' ' 'S16.0' ',1,A1.0,3
'A1.0' 'J1.2' 'V9.0','OTHER: Aamadosha 'OTHER: Jvara- pitta 'OTHER: Visarpa,3,' 'A1.0' ' ' 'J1.2' ' ' 'V9.0' ' ' 'P5.0' ' ' 'V2.63' ' ' 'J1.0' ' ' 'N2.21.0' ',1,A1.0,3
'A1.0' 'M10.1' 'V2.63','OTHER: Aamadosha 'Metabolic: Medoroga - Sthula medho roga 'RMSD: Vaatavyaadhi - Sandhigata Vaata,3,' 'A1.0' ' ' 'M10.1' ' ' 'V2.63' ' ' 'V2.23' ' ' 'A5.0' ',1,A1.0,3
'A1.0' 'MS T1.0' 'S14.18','OTHER: Aamadosha 'OTHER: Twak Vivarnya 'RMSD: Sthaanabhedena Shoola - Janghaa Shoola,3,' 'A1.0' ' ' 'MS T1.0' ' ' 'S14.18' ',1,A1.0,3
'A1.0' 'S16.0' 'S16.2','OTHER: Aamadosha 'Metabolic: Sthaulya 'OTHER: Stree Roga - Aartavanaasha,3,' 'A1.0' ' ' 'S16.0' ' ' 'S16.2' ',1,A1.0,3
'A1.0' 'V2.0' 'S15.42','OTHER: Aamadosha 'RMSD: Vaatavyaadhi 'RMSD: Sthaanabhedena Shoola - Sandhi Shoola,3,' 'A1.0' ' ' 'V2.0' ' ' 'S15.42' ',1,A1.0,3
'A1.0' 'V2.0' 'V2.63','OTHER: Aamadosha 'RMSD: Vaatavyaadhi 'RMSD: Vaatavyaadhi - Sandhigata Vaata,3,' 'A1.0' ' ' 'V2.0' ' ' 'V2.63' ',1,A1.0,3
'A1.0' 'V2.10' 'V2.23','OTHER: Aamadosha 'OTHER: Vaatavyaadhi - Avabaahuka 'RMSD: Vaatavyaadhi - Gridhrasee,3,' 'A1.0' ' ' 'V2.10' ' ' 'V2.23' ',1,A1.0,3
'A1.0' 'A2.0' 'J1.0' 'K2.0','OTHER: Aamadosha 'RMSD: Aamavaata 'OTHER: Jwara 'OTHER: Kaasa,4,' 'A1.0' ' ' 'A2.0' ' ' 'J1.0' ' ' 'K2.0' ',1,A1.0,4
'A1.0' 'J1.2' 'V9.0' 'P5.0','OTHER: Aamadosha 'OTHER: Jvara- pitta 'OTHER: Visarpa 'Metabolic: Prameha,4,' 'A1.0' ' ' 'J1.2' ' ' 'V9.0' ' ' 'P5.0' ' ' 'V2.63' ' ' 'J1.0' ' ' 'N2.21.0' ',1,A1.0,4
'A1.0' 'M10.1' 'V2.63' 'V2.23','OTHER: Aamadosha 'Metabolic: Medoroga - Sthula medho roga 'RMSD: Vaatavyaadhi - Sandhigata Vaata 'RMSD: Vaatavyaadhi - Gridhrasee,4,' 'A1.0' ' ' 'M10.1' ' ' 'V2.63' ' ' 'V2.23' ' ' 'A5.0' ',1,A1.0,4
'A1.0' 'J1.2' 'V9.0' 'P5.0' 'V2.63','OTHER: Aamadosha 'OTHER: Jvara- pitta 'OTHER: Visarpa 'Metabolic: Prameha 'RMSD: Vaatavyaadhi - Sandhigata Vaata,5,' 'A1.0' ' ' 'J1.2' ' ' 'V9.0' ' ' 'P5.0' ' ' 'V2.63' ' ' 'J1.0' ' ' 'N2.21.0' ',1,A1.0,5
'A1.0' 'M10.1' 'V2.63' 'V2.23' 'A5.0','OTHER: Aamadosha 'Metabolic: Medoroga - Sthula medho roga 'RMSD: Vaatavyaadhi - Sandhigata Vaata 'RMSD: Vaatavyaadhi - Gridhrasee 'OTHER: Ajeerna,5,' 'A1.0' ' ' 'M10.1' ' ' 'V2.63' ' ' 'V2.23' ' ' 'A5.0' ',1,A1.0,5
'A1.0' 'J1.2' 'V9.0' 'P5.0' 'V2.63' 'J1.0','OTHER: Aamadosha 'OTHER: Jvara- pitta 'OTHER: Visarpa 'Metabolic: Prameha 'RMSD: Vaatavyaadhi - Sandhigata Vaata 'OTHER: Jwara,6,' 'A1.0' ' ' 'J1.2' ' ' 'V9.0' ' ' 'P5.0' ' ' 'V2.63' ' ' 'J1.0' ' ' 'N2.21.0' ',1,A1.0,6
'A1.0' 'J1.2' 'V9.0' 'P5.0' 'V2.63' 'J1.0' 'N2.21.0','OTHER: Aamadosha 'OTHER: Jvara- pitta 'OTHER: Visarpa 'Metabolic: Prameha 'RMSD: Vaatavyaadhi - Sandhigata Vaata 'OTHER: Jwara 'OTHER: Naasaa Roga - Pratishyaaya,7,' 'A1.0' ' ' 'J1.2' ' ' 'V9.0' ' ' 'P5.0' ' ' 'V2.63' ' ' 'J1.0' ' ' 'N2.21.0' ',1,A1.0,7
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'A16.0' ' ' 'V2.63' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'A2.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'A2.0' ' ' 'G10.0' ' ' 'N2.21.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'A6.0' ' ' 'K10.38' ' ' 'K10.38A' ' ' 'G8.0' ' ' 'V2.23' ',1,A11.0,1
