discomb,descomb,numcomb,grpcomb,npt,sttdis,node
'K2.0' 'P5.0','OTHER: Kaasa 'Metabolic: Prameha,2,' 'K2.0' ' ' 'P5.0' ' ' 'S3.3' ',1,K2.0,2
'K2.0' 'P5.0','OTHER: Kaasa 'Metabolic: Prameha,2,' 'K2.0' ' ' 'P5.0' ' ' 'S3.3' ' ' 'M2.0' ' ' 'V16.0' ',1,K2.0,2
'K2.0' 'P5.0','OTHER: Kaasa 'Metabolic: Prameha,2,' 'K2.0' ' ' 'P5.0' ' ' 'S4.0' ',1,K2.0,2
'K2.0' 'P5.0','OTHER: Kaasa 'Metabolic: Prameha,2,' 'K2.0' ' ' 'P5.0' ' ' 'V2.10' ',1,K2.0,2
'K2.0' 'P5.0','OTHER: Kaasa 'Metabolic: Prameha,2,' 'K2.0' ' ' 'P5.0' ' ' 'k12.0' ',1,K2.0,2
'K2.0' 'S10.4','OTHER: Kaasa 'RMSD: Stambha - Greevaa Stambha,2,' 'K2.0' ' ' 'S10.4' ' ' 'MS G1.0' ' ' 'V2.0' ' ' 'A2.0' ' ' 'A13.0' ' ' 'N2.21.1' ',1,K2.0,2
'K2.0' 'S13.11','OTHER: Kaasa 'RMSD: Sthaanabhedena Graha - Katee Graha,2,' 'K2.0' ' ' 'S13.11' ',1,K2.0,2
'K2.0' 'S14.0','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola,2,' 'K2.0' ' ' 'S14.0' ',2,K2.0,2
'K2.0' 'S14.0','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola,2,' 'K2.0' ' ' 'S14.0' ' ' 'A12.1' ' ' 'A12.0' ' ' 'S4.0' ' ' 'N4.0' ' ' 'A6.0' ' ' 'G9.0' ',1,K2.0,2
'K2.0' 'S14.0','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola,2,' 'K2.0' ' ' 'S14.0' ' ' 'S14.21' ',1,K2.0,2
'K2.0' 'S14.13','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola - Gulpha Shoola,2,' 'K2.0' ' ' 'S14.13' ',1,K2.0,2
'K2.0' 'S14.21','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola - Katee Shoola,2,' 'K2.0' ' ' 'S14.21' ',3,K2.0,2
'K2.0' 'S14.21','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola - Katee Shoola,2,' 'K2.0' ' ' 'S14.21' ' ' 'S4.0' ',1,K2.0,2
'K2.0' 'S14.21','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola - Katee Shoola,2,' 'K2.0' ' ' 'S14.21' ' ' 'V2.63' ' ' 'S14.0' ' ' 'M2.0' ',1,K2.0,2
'K2.0' 'S14.7','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola - Baahu Shoola,2,' 'K2.0' ' ' 'S14.7' ',1,K2.0,2
'K2.0' 'S14.7','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola - Baahu Shoola,2,' 'K2.0' ' ' 'S14.7' ' ' 'k12.0' ',1,K2.0,2
'K2.0' 'S16.0','OTHER: Kaasa 'Metabolic: Sthaulya,2,' 'K2.0' ' ' 'S16.0' ',2,K2.0,2
'K2.0' 'S16.0','OTHER: Kaasa 'Metabolic: Sthaulya,2,' 'K2.0' ' ' 'S16.0' ' ' 'N4.0' ' ' 'S16.20.7' ' ' 'A6.0' ' ' 'V2.10' ' ' 'V2.23' ' ' 'V5.1' ' ' 'V11.1' ',1,K2.0,2
'K2.0' 'S4.0','OTHER: Kaasa 'OTHER: Shvaasa,2,' 'K2.0' ' ' 'S4.0' ' ' 'V2.63' ',2,K2.0,2
'K2.0' 'S4.0','OTHER: Kaasa 'OTHER: Shvaasa,2,' 'K2.0' ' ' 'S4.0' ' ' 'V2.77' ',1,K2.0,2
'K2.0' 'V2.0','OTHER: Kaasa 'RMSD: Vaatavyaadhi,2,' 'K2.0' ' ' 'V2.0' ',5,K2.0,2
'K2.0' 'V2.0','OTHER: Kaasa 'RMSD: Vaatavyaadhi,2,' 'K2.0' ' ' 'V2.0' ' ' 'MS M1.0' ' ' 'A11.0' ' ' 'N4.13' ',1,K2.0,2
'K2.0' 'V2.2','OTHER: Kaasa 'OTHER: Vaatavyaadhi - Aadhmaana,2,' 'K2.0' ' ' 'V2.2' ' ' 'V2.0' ',1,K2.0,2
'K2.0' 'V2.2','OTHER: Kaasa 'OTHER: Vaatavyaadhi - Aadhmaana,2,' 'K2.0' ' ' 'V2.2' ' ' 'V2.63' ',1,K2.0,2
'K2.0' 'V2.23','OTHER: Kaasa 'RMSD: Vaatavyaadhi - Gridhrasee,2,' 'K2.0' ' ' 'V2.23' ',3,K2.0,2
'K2.0' 'V2.23','OTHER: Kaasa 'RMSD: Vaatavyaadhi - Gridhrasee,2,' 'K2.0' ' ' 'V2.23' ' ' 'k12.0' ',1,K2.0,2
'K2.0' 'V2.36','OTHER: Kaasa 'RMSD: Vaatavyaadhi - Kateegata Vaata,2,' 'K2.0' ' ' 'V2.36' ' ' 'A11.17' ' ' 'K10.38A' ',1,K2.0,2
'K2.0' 'V2.36','OTHER: Kaasa 'RMSD: Vaatavyaadhi - Kateegata Vaata,2,' 'K2.0' ' ' 'V2.36' ' ' 'V2.63' ',1,K2.0,2
'K2.0' 'V2.57','OTHER: Kaasa 'OTHER: Vaatavyaadhi - Pangutva,2,' 'K2.0' ' ' 'V2.57' ' ' 'P5.0' ',1,K2.0,2
'K2.0' 'V2.63','OTHER: Kaasa 'RMSD: Vaatavyaadhi - Sandhigata Vaata,2,' 'K2.0' ' ' 'V2.63' ',8,K2.0,2
'K2.0' 'V2.9','OTHER: Kaasa 'RMSD: Vaatavyaadhi - Asthigata Vaata,2,' 'K2.0' ' ' 'V2.9' ' ' 'A2.0' ' ' 'V2.63' ',1,K2.0,2
'K2.0' 'Y1','OTHER: Kaasa 'OTHER: Yakrit Dosha,2,' 'K2.0' ' ' 'Y1' ' ' 'A6.0' ' ' 'A5.0' ' ' 'M10.2' ',1,K2.0,2
'K2.0' 'Y1','OTHER: Kaasa 'OTHER: Yakrit Dosha,2,' 'K2.0' ' ' 'Y1' ' ' 'M2.0' ' ' 'P5.0' ' ' 'V2.2' ',1,K2.0,2
'K2.0' 'G6.0' 'A2.0','OTHER: Kaasa 'OTHER: Garbhini 'RMSD: Aamavaata,3,' 'K2.0' ' ' 'G6.0' ' ' 'A2.0' ' ' 'A4.0' ' ' 'S2.10' ',1,K2.0,3
'K2.0' 'M10.1' 'P5.0','OTHER: Kaasa 'Metabolic: Medoroga - Sthula medho roga 'Metabolic: Prameha,3,' 'K2.0' ' ' 'M10.1' ' ' 'P5.0' ',1,K2.0,3
'K2.0' 'M10.1' 'P5.0','OTHER: Kaasa 'Metabolic: Medoroga - Sthula medho roga 'Metabolic: Prameha,3,' 'K2.0' ' ' 'M10.1' ' ' 'P5.0' ' ' 'S4.0' ',1,K2.0,3
'K2.0' 'M10.1' 'V2.63','OTHER: Kaasa 'Metabolic: Medoroga - Sthula medho roga 'RMSD: Vaatavyaadhi - Sandhigata Vaata,3,' 'K2.0' ' ' 'M10.1' ' ' 'V2.63' ',1,K2.0,3
'K2.0' 'M10.2' 'N4.0','OTHER: Kaasa 'Metabolic: Medoroga - Sukshma medho roga 'OTHER: Netra Roga,3,' 'K2.0' ' ' 'M10.2' ' ' 'N4.0' ',1,K2.0,3
'K2.0' 'M18.9.21' 'N2.18','OTHER: Kaasa 'OTHER: Mukha Roga - Dantagata Roga - Krimidanta 'OTHER: Naasaa Roga - Peenasa,3,' 'K2.0' ' ' 'M18.9.21' ' ' 'N2.18' ' ' 'N4.46.2.0' ' ' 'P5.0' ' ' 'K3.0' ' ' 'V2.63' ' ' 'Y1' ' ' 'K4.14' ' ' 'V2.23' ',1,K2.0,3
'K2.0' 'M18.9.3' 'V2.34.0','OTHER: Kaasa 'OTHER: Mukha Roga - Dantagata Roga  - Danta Maamsa Paaka 'OTHER: Vaatavyaadhi - Kampa,3,' 'K2.0' ' ' 'M18.9.3' ' ' 'V2.34.0' ' ' 'H2.0' ' ' 'P5.0' ' ' 'M2.0' ' ' 'V2.56.0' ' ' 'S17.0' ' ' 'N2.18' ' ' 'A16.0' ',1,K2.0,3
'K2.0' 'M2.0' 'V2.63','OTHER: Kaasa 'Metabolic: Madhumeha 'RMSD: Vaatavyaadhi - Sandhigata Vaata,3,' 'K2.0' ' ' 'M2.0' ' ' 'V2.63' ',1,K2.0,3
'K2.0' 'MS G1.0' 'V2.23','OTHER: Kaasa 'OTHER: Greeva Graha 'RMSD: Vaatavyaadhi - Gridhrasee,3,' 'K2.0' ' ' 'MS G1.0' ' ' 'V2.23' ',1,K2.0,3
'K2.0' 'N2.18' 'M10.2','OTHER: Kaasa 'OTHER: Naasaa Roga - Peenasa 'Metabolic: Medoroga - Sukshma medho roga,3,' 'K2.0' ' ' 'N2.18' ' ' 'M10.2' ',1,K2.0,3
'K2.0' 'N2.21.0' 'P2.0','OTHER: Kaasa 'OTHER: Naasaa Roga - Pratishyaaya 'OTHER: Pandu,3,' 'K2.0' ' ' 'N2.21.0' ' ' 'P2.0' ' ' 'V2.64' ' ' 'Y8.23' ' ' 'V2.0' ' ' 'N2.21.1' ' ' 'S3.0' ' ' 'S14.0' ',1,K2.0,3
'K2.0' 'N2.21.0' 'S1.0','OTHER: Kaasa 'OTHER: Naasaa Roga - Pratishyaaya 'OTHER: Sheetapitta,3,' 'K2.0' ' ' 'N2.21.0' ' ' 'S1.0' ' ' 'N2.18' ' ' 'M10.0' ',1,K2.0,3
'K2.0' 'N4.0' 'P5.0','OTHER: Kaasa 'OTHER: Netra Roga 'Metabolic: Prameha,3,' 'K2.0' ' ' 'N4.0' ' ' 'P5.0' ' ' 'U1.0' ' ' 'V2.23' ' ' 'N2.18' ' ' 'V2.10' ' ' 'J1.0' ' ' 'V2.63' ',1,K2.0,3
'K2.0' 'O1.4' 'N4.0','OTHER: Kaasa 'OTHER: Ojavikriti - Ojovisramsa 'OTHER: Netra Roga,3,' 'K2.0' ' ' 'O1.4' ' ' 'N4.0' ' ' 'M2.0' ',1,K2.0,3
'K2.0' 'P5.0' 'B5','OTHER: Kaasa 'Metabolic: Prameha 'OTHER: Bhrama,3,' 'K2.0' ' ' 'P5.0' ' ' 'B5' ' ' 'V2.10' ',1,K2.0,3
'K2.0' 'P5.0' 'M2.0','OTHER: Kaasa 'Metabolic: Prameha 'Metabolic: Madhumeha,3,' 'K2.0' ' ' 'P5.0' ' ' 'M2.0' ',1,K2.0,3
'K2.0' 'P5.0' 'M2.0','OTHER: Kaasa 'Metabolic: Prameha 'Metabolic: Madhumeha,3,' 'K2.0' ' ' 'P5.0' ' ' 'M2.0' ' ' 'S14.21' ' ' 'V2.23' ' ' 'MS M1.0' ' ' 'K10.38A' ',1,K2.0,3
'K2.0' 'P5.0' 'M2.0','OTHER: Kaasa 'Metabolic: Prameha 'Metabolic: Madhumeha,3,' 'K2.0' ' ' 'P5.0' ' ' 'M2.0' ' ' 'V2.63' ',1,K2.0,3
'K2.0' 'P5.0' 'S14.0','OTHER: Kaasa 'Metabolic: Prameha 'RMSD: Sthaanabhedena Shoola,3,' 'K2.0' ' ' 'P5.0' ' ' 'S14.0' ',1,K2.0,3
'K2.0' 'P5.0' 'S3.3','OTHER: Kaasa 'Metabolic: Prameha 'OTHER: Shrama,3,' 'K2.0' ' ' 'P5.0' ' ' 'S3.3' ',1,K2.0,3
'K2.0' 'P5.0' 'S3.3','OTHER: Kaasa 'Metabolic: Prameha 'OTHER: Shrama,3,' 'K2.0' ' ' 'P5.0' ' ' 'S3.3' ' ' 'M2.0' ' ' 'V16.0' ',1,K2.0,3
'K2.0' 'P5.0' 'S4.0','OTHER: Kaasa 'Metabolic: Prameha 'OTHER: Shvaasa,3,' 'K2.0' ' ' 'P5.0' ' ' 'S4.0' ',1,K2.0,3
'K2.0' 'P5.0' 'V2.10','OTHER: Kaasa 'Metabolic: Prameha 'OTHER: Vaatavyaadhi - Avabaahuka,3,' 'K2.0' ' ' 'P5.0' ' ' 'V2.10' ',1,K2.0,3
'K2.0' 'P5.0' 'k12.0','OTHER: Kaasa 'Metabolic: Prameha 'OTHER: Kushtha,3,' 'K2.0' ' ' 'P5.0' ' ' 'k12.0' ',1,K2.0,3
'K2.0' 'S10.4' 'MS G1.0','OTHER: Kaasa 'RMSD: Stambha - Greevaa Stambha 'OTHER: Greeva Graha,3,' 'K2.0' ' ' 'S10.4' ' ' 'MS G1.0' ' ' 'V2.0' ' ' 'A2.0' ' ' 'A13.0' ' ' 'N2.21.1' ',1,K2.0,3
'K2.0' 'S14.0' 'A12.1','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola 'OTHER: Artava Vyapad - Anartava,3,' 'K2.0' ' ' 'S14.0' ' ' 'A12.1' ' ' 'A12.0' ' ' 'S4.0' ' ' 'N4.0' ' ' 'A6.0' ' ' 'G9.0' ',1,K2.0,3
'K2.0' 'S14.0' 'S14.21','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola 'RMSD: Sthaanabhedena Shoola - Katee Shoola,3,' 'K2.0' ' ' 'S14.0' ' ' 'S14.21' ',1,K2.0,3
'K2.0' 'S14.21' 'S4.0','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola - Katee Shoola 'OTHER: Shvaasa,3,' 'K2.0' ' ' 'S14.21' ' ' 'S4.0' ',1,K2.0,3
'K2.0' 'S14.21' 'V2.63','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola - Katee Shoola 'RMSD: Vaatavyaadhi - Sandhigata Vaata,3,' 'K2.0' ' ' 'S14.21' ' ' 'V2.63' ' ' 'S14.0' ' ' 'M2.0' ',1,K2.0,3
'K2.0' 'S14.7' 'k12.0','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola - Baahu Shoola 'OTHER: Kushtha,3,' 'K2.0' ' ' 'S14.7' ' ' 'k12.0' ',1,K2.0,3
'K2.0' 'S16.0' 'N4.0','OTHER: Kaasa 'Metabolic: Sthaulya 'OTHER: Netra Roga,3,' 'K2.0' ' ' 'S16.0' ' ' 'N4.0' ' ' 'S16.20.7' ' ' 'A6.0' ' ' 'V2.10' ' ' 'V2.23' ' ' 'V5.1' ' ' 'V11.1' ',1,K2.0,3
'K2.0' 'S4.0' 'V2.63','OTHER: Kaasa 'OTHER: Shvaasa 'RMSD: Vaatavyaadhi - Sandhigata Vaata,3,' 'K2.0' ' ' 'S4.0' ' ' 'V2.63' ',2,K2.0,3
'K2.0' 'S4.0' 'V2.77','OTHER: Kaasa 'OTHER: Shvaasa 'RMSD: Vaatavyaadhi - Vishvaachee,3,' 'K2.0' ' ' 'S4.0' ' ' 'V2.77' ',1,K2.0,3
'K2.0' 'V2.0' 'MS M1.0','OTHER: Kaasa 'RMSD: Vaatavyaadhi 'OTHER: Mutrashteela,3,' 'K2.0' ' ' 'V2.0' ' ' 'MS M1.0' ' ' 'A11.0' ' ' 'N4.13' ',1,K2.0,3
'K2.0' 'V2.2' 'V2.0','OTHER: Kaasa 'OTHER: Vaatavyaadhi - Aadhmaana 'RMSD: Vaatavyaadhi,3,' 'K2.0' ' ' 'V2.2' ' ' 'V2.0' ',1,K2.0,3
'K2.0' 'V2.2' 'V2.63','OTHER: Kaasa 'OTHER: Vaatavyaadhi - Aadhmaana 'RMSD: Vaatavyaadhi - Sandhigata Vaata,3,' 'K2.0' ' ' 'V2.2' ' ' 'V2.63' ',1,K2.0,3
'K2.0' 'V2.23' 'k12.0','OTHER: Kaasa 'RMSD: Vaatavyaadhi - Gridhrasee 'OTHER: Kushtha,3,' 'K2.0' ' ' 'V2.23' ' ' 'k12.0' ',1,K2.0,3
'K2.0' 'V2.36' 'A11.17','OTHER: Kaasa 'RMSD: Vaatavyaadhi - Kateegata Vaata 'OTHER: Arsha - Vaatapittaja Arsha,3,' 'K2.0' ' ' 'V2.36' ' ' 'A11.17' ' ' 'K10.38A' ',1,K2.0,3
'K2.0' 'V2.36' 'V2.63','OTHER: Kaasa 'RMSD: Vaatavyaadhi - Kateegata Vaata 'RMSD: Vaatavyaadhi - Sandhigata Vaata,3,' 'K2.0' ' ' 'V2.36' ' ' 'V2.63' ',1,K2.0,3
'K2.0' 'V2.57' 'P5.0','OTHER: Kaasa 'OTHER: Vaatavyaadhi - Pangutva 'Metabolic: Prameha,3,' 'K2.0' ' ' 'V2.57' ' ' 'P5.0' ',1,K2.0,3
'K2.0' 'V2.9' 'A2.0','OTHER: Kaasa 'RMSD: Vaatavyaadhi - Asthigata Vaata 'RMSD: Aamavaata,3,' 'K2.0' ' ' 'V2.9' ' ' 'A2.0' ' ' 'V2.63' ',1,K2.0,3
'K2.0' 'Y1' 'A6.0','OTHER: Kaasa 'OTHER: Yakrit Dosha 'OTHER: Amlapitta,3,' 'K2.0' ' ' 'Y1' ' ' 'A6.0' ' ' 'A5.0' ' ' 'M10.2' ',1,K2.0,3
'K2.0' 'Y1' 'M2.0','OTHER: Kaasa 'OTHER: Yakrit Dosha 'Metabolic: Madhumeha,3,' 'K2.0' ' ' 'Y1' ' ' 'M2.0' ' ' 'P5.0' ' ' 'V2.2' ',1,K2.0,3
'K2.0' 'G6.0' 'A2.0' 'A4.0','OTHER: Kaasa 'OTHER: Garbhini 'RMSD: Aamavaata 'OTHER: Agnimaandya,4,' 'K2.0' ' ' 'G6.0' ' ' 'A2.0' ' ' 'A4.0' ' ' 'S2.10' ',1,K2.0,4
'K2.0' 'M10.1' 'P5.0' 'S4.0','OTHER: Kaasa 'Metabolic: Medoroga - Sthula medho roga 'Metabolic: Prameha 'OTHER: Shvaasa,4,' 'K2.0' ' ' 'M10.1' ' ' 'P5.0' ' ' 'S4.0' ',1,K2.0,4
'K2.0' 'M18.9.21' 'N2.18' 'N4.46.2.0','OTHER: Kaasa 'OTHER: Mukha Roga - Dantagata Roga - Krimidanta 'OTHER: Naasaa Roga - Peenasa 'OTHER: Netra Roga - Shuklagata - Arma,4,' 'K2.0' ' ' 'M18.9.21' ' ' 'N2.18' ' ' 'N4.46.2.0' ' ' 'P5.0' ' ' 'K3.0' ' ' 'V2.63' ' ' 'Y1' ' ' 'K4.14' ' ' 'V2.23' ',1,K2.0,4
'K2.0' 'M18.9.3' 'V2.34.0' 'H2.0','OTHER: Kaasa 'OTHER: Mukha Roga - Dantagata Roga  - Danta Maamsa Paaka 'OTHER: Vaatavyaadhi - Kampa 'OTHER: Hridroga,4,' 'K2.0' ' ' 'M18.9.3' ' ' 'V2.34.0' ' ' 'H2.0' ' ' 'P5.0' ' ' 'M2.0' ' ' 'V2.56.0' ' ' 'S17.0' ' ' 'N2.18' ' ' 'A16.0' ',1,K2.0,4
'K2.0' 'N2.21.0' 'P2.0' 'V2.64','OTHER: Kaasa 'OTHER: Naasaa Roga - Pratishyaaya 'OTHER: Pandu 'RMSD: Vaatavyaadhi - Sarvaangagata Vaata,4,' 'K2.0' ' ' 'N2.21.0' ' ' 'P2.0' ' ' 'V2.64' ' ' 'Y8.23' ' ' 'V2.0' ' ' 'N2.21.1' ' ' 'S3.0' ' ' 'S14.0' ',1,K2.0,4
'K2.0' 'N2.21.0' 'S1.0' 'N2.18','OTHER: Kaasa 'OTHER: Naasaa Roga - Pratishyaaya 'OTHER: Sheetapitta 'OTHER: Naasaa Roga - Peenasa,4,' 'K2.0' ' ' 'N2.21.0' ' ' 'S1.0' ' ' 'N2.18' ' ' 'M10.0' ',1,K2.0,4
'K2.0' 'N4.0' 'P5.0' 'U1.0','OTHER: Kaasa 'OTHER: Netra Roga 'Metabolic: Prameha 'OTHER: Udaavarta,4,' 'K2.0' ' ' 'N4.0' ' ' 'P5.0' ' ' 'U1.0' ' ' 'V2.23' ' ' 'N2.18' ' ' 'V2.10' ' ' 'J1.0' ' ' 'V2.63' ',1,K2.0,4
'K2.0' 'O1.4' 'N4.0' 'M2.0','OTHER: Kaasa 'OTHER: Ojavikriti - Ojovisramsa 'OTHER: Netra Roga 'Metabolic: Madhumeha,4,' 'K2.0' ' ' 'O1.4' ' ' 'N4.0' ' ' 'M2.0' ',1,K2.0,4
'K2.0' 'P5.0' 'B5' 'V2.10','OTHER: Kaasa 'Metabolic: Prameha 'OTHER: Bhrama 'OTHER: Vaatavyaadhi - Avabaahuka,4,' 'K2.0' ' ' 'P5.0' ' ' 'B5' ' ' 'V2.10' ',1,K2.0,4
'K2.0' 'P5.0' 'M2.0' 'S14.21','OTHER: Kaasa 'Metabolic: Prameha 'Metabolic: Madhumeha 'RMSD: Sthaanabhedena Shoola - Katee Shoola,4,' 'K2.0' ' ' 'P5.0' ' ' 'M2.0' ' ' 'S14.21' ' ' 'V2.23' ' ' 'MS M1.0' ' ' 'K10.38A' ',1,K2.0,4
'K2.0' 'P5.0' 'M2.0' 'V2.63','OTHER: Kaasa 'Metabolic: Prameha 'Metabolic: Madhumeha 'RMSD: Vaatavyaadhi - Sandhigata Vaata,4,' 'K2.0' ' ' 'P5.0' ' ' 'M2.0' ' ' 'V2.63' ',1,K2.0,4
'K2.0' 'P5.0' 'S3.3' 'M2.0','OTHER: Kaasa 'Metabolic: Prameha 'OTHER: Shrama 'Metabolic: Madhumeha,4,' 'K2.0' ' ' 'P5.0' ' ' 'S3.3' ' ' 'M2.0' ' ' 'V16.0' ',1,K2.0,4
'K2.0' 'S10.4' 'MS G1.0' 'V2.0','OTHER: Kaasa 'RMSD: Stambha - Greevaa Stambha 'OTHER: Greeva Graha 'RMSD: Vaatavyaadhi,4,' 'K2.0' ' ' 'S10.4' ' ' 'MS G1.0' ' ' 'V2.0' ' ' 'A2.0' ' ' 'A13.0' ' ' 'N2.21.1' ',1,K2.0,4
'K2.0' 'S14.0' 'A12.1' 'A12.0','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola 'OTHER: Artava Vyapad - Anartava 'OTHER: Artava Vyapad,4,' 'K2.0' ' ' 'S14.0' ' ' 'A12.1' ' ' 'A12.0' ' ' 'S4.0' ' ' 'N4.0' ' ' 'A6.0' ' ' 'G9.0' ',1,K2.0,4
'K2.0' 'S14.21' 'V2.63' 'S14.0','OTHER: Kaasa 'RMSD: Sthaanabhedena Shoola - Katee Shoola 'RMSD: Vaatavyaadhi - Sandhigata Vaata 'RMSD: Sthaanabhedena Shoola,4,' 'K2.0' ' ' 'S14.21' ' ' 'V2.63' ' ' 'S14.0' ' ' 'M2.0' ',1,K2.0,4
'K2.0' 'S16.0' 'N4.0' 'S16.20.7','OTHER: Kaasa 'Metabolic: Sthaulya 'OTHER: Netra Roga 'OTHER: STREEROGA - RAJONIVRITHI,4,' 'K2.0' ' ' 'S16.0' ' ' 'N4.0' ' ' 'S16.20.7' ' ' 'A6.0' ' ' 'V2.10' ' ' 'V2.23' ' ' 'V5.1' ' ' 'V11.1' ',1,K2.0,4
'K2.0' 'V2.0' 'MS M1.0' 'A11.0','OTHER: Kaasa 'RMSD: Vaatavyaadhi 'OTHER: Mutrashteela 'OTHER: Arshas,4,' 'K2.0' ' ' 'V2.0' ' ' 'MS M1.0' ' ' 'A11.0' ' ' 'N4.13' ',1,K2.0,4
'K2.0' 'V2.36' 'A11.17' 'K10.38A','OTHER: Kaasa 'RMSD: Vaatavyaadhi - Kateegata Vaata 'OTHER: Arsha - Vaatapittaja Arsha 'OTHER: Kshudra Roga - Parikartikaa,4,' 'K2.0' ' ' 'V2.36' ' ' 'A11.17' ' ' 'K10.38A' ',1,K2.0,4
'K2.0' 'V2.9' 'A2.0' 'V2.63','OTHER: Kaasa 'RMSD: Vaatavyaadhi - Asthigata Vaata 'RMSD: Aamavaata 'RMSD: Vaatavyaadhi - Sandhigata Vaata,4,' 'K2.0' ' ' 'V2.9' ' ' 'A2.0' ' ' 'V2.63' ',1,K2.0,4
'K2.0' 'Y1' 'A6.0' 'A5.0','OTHER: Kaasa 'OTHER: Yakrit Dosha 'OTHER: Amlapitta 'OTHER: Ajeerna,4,' 'K2.0' ' ' 'Y1' ' ' 'A6.0' ' ' 'A5.0' ' ' 'M10.2' ',1,K2.0,4
'K2.0' 'Y1' 'M2.0' 'P5.0','OTHER: Kaasa 'OTHER: Yakrit Dosha 'Metabolic: Madhumeha 'Metabolic: Prameha,4,' 'K2.0' ' ' 'Y1' ' ' 'M2.0' ' ' 'P5.0' ' ' 'V2.2' ',1,K2.0,4
'K2.0' 'G6.0' 'A2.0' 'A4.0' 'S2.10','OTHER: Kaasa 'OTHER: Garbhini 'RMSD: Aamavaata 'OTHER: Agnimaandya 'OTHER: Shiroroga - Shirahshoola,5,' 'K2.0' ' ' 'G6.0' ' ' 'A2.0' ' ' 'A4.0' ' ' 'S2.10' ',1,K2.0,5
'K2.0' 'M18.9.21' 'N2.18' 'N4.46.2.0' 'P5.0','OTHER: Kaasa 'OTHER: Mukha Roga - Dantagata Roga - Krimidanta 'OTHER: Naasaa Roga - Peenasa 'OTHER: Netra Roga - Shuklagata - Arma 'Metabolic: Prameha,5,' 'K2.0' ' ' 'M18.9.21' ' ' 'N2.18' ' ' 'N4.46.2.0' ' ' 'P5.0' ' ' 'K3.0' ' ' 'V2.63' ' ' 'Y1' ' ' 'K4.14' ' ' 'V2.23' ',1,K2.0,5
'K2.0' 'M18.9.3' 'V2.34.0' 'H2.0' 'P5.0','OTHER: Kaasa 'OTHER: Mukha Roga - Dantagata Roga  - Danta Maamsa Paaka 'OTHER: Vaatavyaadhi - Kampa 'OTHER: Hridroga 'Metabolic: Prameha,5,' 'K2.0' ' ' 'M18.9.3' ' ' 'V2.34.0' ' ' 'H2.0' ' ' 'P5.0' ' ' 'M2.0' ' ' 'V2.56.0' ' ' 'S17.0' ' ' 'N2.18' ' ' 'A16.0' ',1,K2.0,5
'K2.0' 'N2.21.0' 'P2.0' 'V2.64' 'Y8.23','OTHER: Kaasa 'OTHER: Naasaa Roga - Pratishyaaya 'OTHER: Pandu 'RMSD: Vaatavyaadhi - Sarvaangagata Vaata 'OTHER: Yonivyaapad - Udaavartaa,5,' 'K2.0' ' ' 'N2.21.0' ' ' 'P2.0' ' ' 'V2.64' ' ' 'Y8.23' ' ' 'V2.0' ' ' 'N2.21.1' ' ' 'S3.0' ' ' 'S14.0' ',1,K2.0,5
'K2.0' 'N2.21.0' 'S1.0' 'N2.18' 'M10.0','OTHER: Kaasa 'OTHER: Naasaa Roga - Pratishyaaya 'OTHER: Sheetapitta 'OTHER: Naasaa Roga - Peenasa 'Metabolic: Medoroga,5,' 'K2.0' ' ' 'N2.21.0' ' ' 'S1.0' ' ' 'N2.18' ' ' 'M10.0' ',1,K2.0,5
'K2.0' 'N4.0' 'P5.0' 'U1.0' 'V2.23','OTHER: Kaasa 'OTHER: Netra Roga 'Metabolic: Prameha 'OTHER: Udaavarta 'RMSD: Vaatavyaadhi - Gridhrasee,5,' 'K2.0' ' ' 'N4.0' ' ' 'P5.0' ' ' 'U1.0' ' ' 'V2.23' ' ' 'N2.18' ' ' 'V2.10' ' ' 'J1.0' ' ' 'V2.63' ',1,K2.0,5
'K2.0' 'P5.0' 'M2.0' 'S14.21' 'V2.23','OTHER: Kaasa 'Metabolic: Prameha 'Metabolic: Madhumeha 'RMSD: Sthaanabhedena Shoola - Katee Shoola 'RMSD: Vaatavyaadhi - Gridhrasee,5,' 'K2.0' ' ' 'P5.0' ' ' 'M2.0' ' ' 'S14.21' ' ' 'V2.23' ' ' 'MS M1.0' ' ' 'K10.38A' ',1,K2.0,5
'K2.0' 'P5.0' 'S3.3' 'M2.0' 'V16.0','OTHER: Kaasa 'Metabolic: Prameha 'OTHER: Shrama 'Metabolic: Madhumeha 'OTHER: Vrikka Roga,5,' 'K2.0' ' ' 'P5.0' ' ' 'S3.3' ' ' 'M2.0' ' ' 'V16.0' ',1,K2.0,5
